title,abstract,year,pmid,source
Survival and Recurrence With GLP-1 Receptor Agonists in Breast Cancer.,"IMPORTANCE: Patients with breast cancer (BC) with comorbid obesity or type 2 diabetes (T2D) experience poorer survival. Glucagon-like peptide-1 receptor agonists (GLP-1 RAs) are approved to treat these comorbidities; however, their associations with BC survival and recurrence remain unclear. OBJECTIVE: To evaluate the association between GLP-1 RA use and 10-year all-cause mortality and recurrence-free survival (RFS) over the 10-year follow-up period, as well as 5- and 10-year all-cause mortality and RFS probabilities among patients with BC. DESIGN, SETTING, AND PARTICIPANTS: This retrospective cohort study used TriNetX US Collaborative Network data from women (>/=18 years) with BC from 68 health care organizations who received a diagnosis between April 1, 2006, and April 1, 2023. Propensity score matching balanced characteristics. Data were analyzed between September 16 and October 3, 2025. EXPOSURES: GLP-1 RA use (>/=2 prescriptions) during the 6 months before and any time after the index diagnosis; nonuse (0 entries). MAIN OUTCOMES AND MEASURES: The primary outcome was all-cause mortality, and the secondary outcome was RFS. Cox proportional hazards regression model-estimated hazard ratios (HRs) were restricted to 10 years. Kaplan-Meier estimators were used to calculate 5- and 10-year all-cause mortality and RFS probabilities. Prespecified subgroup (postmenopausal) and landmark (6- and 12-month) analyses were conducted. RESULTS: The study comprised 841 831 eligible patients with BC (mean [SD] age, 69.1 [12.2] years). After exclusions and 1:1 propensity score matching, 3 cohorts were identified: 1610 patients for GLP-1 RA use vs nonuse (patients with obesity [body mass index >/=30]), 2323 patients for GLP-1 RA use vs insulin or metformin (patients with T2D), and 4052 patients for GLP-1 RA use vs sodium-glucose cotransporter 2 inhibitors (patients with T2D). Among patients with obesity, GLP-1 RAs were associated with lower hazard of all-cause mortality (HR, 0.35; 95% CI, 0.21-0.58; P < .001) and RFS (HR, 0.44; 95% CI, 0.30-0.64; P < .001) over a 10-year follow-up period. Among patients with T2D, GLP-1 RAs vs insulin or metformin were associated with lower hazard of all-cause mortality (HR, 0.09; 95% CI, 0.06-0.15; P < .001) and RFS (HR, 0.33; 95% CI, 0.21-0.50; P < .001). No significant differences were observed between GLP-1 RA and sodium-glucose cotransporter 2 inhibitor groups. Subgroup and landmark analyses yielded similar findings. CONCLUSIONS AND RELEVANCE: In this cohort study of patients with BC, findings suggested a potential association between GLP-1 RA use and improved outcomes among patients with BC who have obesity and related metabolic conditions. These findings support further evaluation of GLP-1 RA therapy in randomized clinical trials.",2026 May 1,42113513,PubMed
Management of advanced HR-positive breast cancer using metabolically supported chemotherapy and repurposed drugs: a case report.,"INTRODUCTION: Metastatic hormone receptor-positive (HR+) breast cancer is largely incurable once resistance to conventional treatments occurs. Emerging evidence suggests that progression free and overall survival can improve by targeting the distinct metabolic phenotype of cancer cells (Warburg effect). We report a durable response in a patient with advanced metastatic breast cancer treated with a multimodal ""press-pulse"" metabolic strategy. CASE PRESENTATION: A 49-year-old female from Torino, Italy presented with Stage IV (cT4N1M1) invasive ductal carcinoma (HR+/HER2-, grade 3) with extensive osseous and lymph node metastases, poor performance status (ECOG 3) and severe, debilitating pain. She underwent a combinatorial protocol at ChemoThermia Oncology Center (Istanbul, Turkey) comprising of Metabolically Supported Chemotherapy (MSCT) consisting of docetaxel, doxorubicin, and cyclophosphamide administered following a 14-hour fast and low dose insulin-induced mild hypoglycemia, alongside a strict ketogenic diet (GKI < 2.0). Adjunctive therapies included local and whole-body hyperthermia, hyperbaric oxygen therapy (HBOT), and a combination of repurposed drugs (metformin, aspirin, doxycycline, mebendazole, ivermectin, and famotidine) designed to target metabolic, inflammatory, and survival pathways. RESULTS: This multimodal treatment protocol was well tolerated, and grade 3/4 adverse events were not observed. The patient noticed symptomatic improvement and functional recovery shortly following the onset of therapy. Follow-up PET-CT scan conducted at 3 months revealed reduced tumor burden. At 6 months, the patient was reported to have a near complete response with the resolution of active bone metastases. On a maintenance schedule, the patient remains in sustained remission as of January 2026, over three years following diagnosis, with a full return to normal daily activities (ECOG 0). CONCLUSION: This case highlights the potential of a comprehensive metabolic approach to cancer treatment that combines therapeutic ketosis, metabolically supported chemotherapy, physical modalities (hyperthermia/HBOT), and repurposed drugs. A durable response in a patient with otherwise poor prognosis was achieved after systematically targeting cancer cell bioenergetics and the tumor microenvironment. These findings support further clinical investigation into multimodal metabolic therapies for advanced HR+ breast cancer.",2026,42100430,PubMed
A novel combination for in vivo breast cancer treatment: TAK1 inhibition combined with metformin and Lentinula edodes compounds synergistically reinvigorates CD8(+) T Cells.,"BACKGROUND: Breast cancer (BC) is the most prevalent cancer among women, and retrieving the anti-tumor function of the immune system seems a promising treatment approach for its crucial role in combating cancer cells. In this study, we evaluated the impact of a combination therapy containing a TAK1 inhibitor, Takinib (Tak), a metabolic regulator, Metformin (Met), and an immunostimulant, Lentinula edodes mycelia extract (LEME) on enhancing the immune system's anti-tumor activity in BALB/c mice bearing triple-negative breast cancer (TNBC). METHODS: BALB/c mice were used to induce TNBC tumors and evaluate tumor growth inhibition. The number of CD8(+) CD28(+) T cells was determined by immunofluorescence assay, the expression of MUC1 protein was assessed by Western blot, while the expression of TOX, NR4A1, and TIM-3 genes was evaluated by real-time PCR in mouse-derived tumor tissues. MTT assay was performed on different BC cell lines to assess cell viability. RESULTS: Molecular docking results revealed significant interactions between Tak and Met with TOX and NR4A1. The combination treatments of Tak, Met, and LEME significantly decreased tumor volume/weight in mice and also significantly increased the number of infiltrated CD8(+) CD28(+) T cells, reduced MUC-1 protein expression, and decreased the expression of TOX, NR4A1, and TIM-3 genes in mouse tumor tissue. Tak, Met, and their combination significantly decreased the cell viability of different BC cell lines. CONCLUSION: This study suggests that the Tak-Met-LEME combination treatments may inhibit BC progression by increasing CD8(+) CD28(+) T cell population in tumor tissue and decreasing tumor progression.",2026 May 5,42087141,PubMed
Exploration of BMI and circulating metabolic factors as predictors of metformin benefit in CCTG MA.32.,"BACKGROUND: In the MA.32 randomized adjuvant breast cancer (bc) trial, metformin (vs placebo) did not impact invasive disease free (IDFS) or overall survival (OS) in estrogen/progesterone receptor (ER/PgR) positive or negative bc; exploratory analyses suggested a benefit in HER2 positive bc. We investigated whether body mass index (BMI) and obesity-associated blood variables predicted metformin benefit in immunohistochemically defined bc subtypes [luminal (ER/PgR positive, HER2 negative), triple negative (TNBC; ER, PgR, HER2 negative), HER2 positive]. METHODS: 3649 non-diabetic patients with high risk T1-3, N0-3 M0 bc were randomized. Baseline fasting plasma was assayed for insulin, glucose, leptin, hsCRP; Homeostasis Model Assessment (HOMA) was calculated. For each bc subtype and each outcome [distant recurrence free survival (DRFS), OS, IDFS], Cox models examined interactions of Body Mass Index (BMI) and blood variables with metformin vs placebo outcomes. RESULTS: Mean age was 51.1 to 53.0 years; mean BMI 27.3 to 27.5 kg/m. 2 Most cancers were T2, N0 or N1 and grade 2 to 3; 2104 (57.7%) were luminal, 925 (25.3%) TN and 620 (17.0%) HER2 positive. Median follow-up 95.9 months. In luminal bc, significant interactions were identified for leptin, insulin and HOMA on DRFS and in TNBC a significant interaction was identified for glucose on DRFS, with potential adverse effects of metformin at lower levels of each variable. In those with HER2 positive bc, no variable predicted metformin benefit. CONCLUSIONS: BMI and blood variables did not identify subgroups with luminal or triple negative bc who benefitted from metformin nor those with HER2 positive bc who did not benefit.",2026 Apr 30,42063220,PubMed
AMPK/mTORC2/AKT-473/RUNX2 signaling axis modulates epithelial-mesenchymal transition and bone tropism in breast cancer.,"INTRODUCTION: Metformin, a widely used biguanide for the treatment of type 2 diabetes, has been extensively studied for its potential anti-cancer properties, primarily attributed to its inhibitory effects on mTORC1 signaling. However, accumulating evidence suggests that its impact on tumor progression is highly context-dependent, varying with cellular and metabolic conditions. In this study, we investigated the mechanistic effects of metformin on RUNX2 and mTORC2 signaling pathways in breast cancer. METHODS: The study was conducted using in silico, in vitro, and in vivo analysis. In vitro experiments was carried out using MDA-MB-231 breast cancer cells to evaluate the regulatory effects of metformin on RUNX2 and mTORC2 signaling. Gene knockdown approaches targeting RICTOR were employed to assess pathway interactions, and molecular analyses were performed to examine the involvement of AMPK and GSK3beta in regulating RUNX2 stability and downstream signaling events. Tumor samples were analyzed to validate the clinical relevance of the observed molecular alterations. Additionally, in vivo studies were performed to assess the functional impact of the identified signaling axis on tumor progression and metastatic potential. RESULTS: Metformin treatment resulted in enhanced mTORC2 activity in a RUNX2-dependent manner, mediated through AMPK-driven stabilization of RUNX2. Furthermore, silencing of RICTOR, a critical component of mTORC2, induced RUNX2 degradation via a GSK3beta-dependent mechanism, indicating a reciprocal regulatory relationship between RUNX2 and mTORC2 pathways. Functional analyses demonstrated that the AMPK-RUNX2-mTORC2 signaling axis promotes epithelial-mesenchymal transition (EMT) and enhances the bone metastatic potential of breast cancer cells. DISCUSSION: These findings reveal a context-dependent role of metformin in modulating metastatic signaling pathways through the AMPK-RUNX2-mTORC2 axis. The study highlights the complexity of metformin's action in biology and underscores its potential to differentially regulate tumor progression and metastasis depending on the molecular context.",2026,42038368,PubMed
Bile duct ligation impairs function and expression of breast cancer resistance protein in rat blood-retinal barrier mainly due to both the increased ammonia and bilirubin.,"Patients with liver failure often suffer from hepatic retinopathy, partly due to the blood-retinal barrier (BRB) impairment. BRB includes the inner BRB formed by retinal microvascular endothelial cells and the outer BRB formed by retinal pigment epithelial cells. Breast cancer resistance protein (BCRP), highly expressed in the inner BRB, regulates retinal homeostasis. To investigate the effects of liver failure on retina BCRP function and expression, we used bile duct ligation (BDL) rats as an animal model, and the BCRP function and BRB integrity were evaluated via retinal prazosin/sulfasalazine distribution and fluorescein isothiocyanate-conjugated dextran permeability using total 18 BDL and 18 sham rats (n = 6 per group), respectively. The results demonstrated that BDL significantly downregulated retina BCRP expression (decrease 1.7-fold of sham rats) and function without affecting BRB permeability, alongside 50%-75% reductions in JNK and p-JNK expression, as well as 30% increases in reactive oxygen species (ROS) levels and 2-fold elevations in p-ERK1/2 expression. The primarily cultured rat retinal microvascular endothelial cells were used to investigate the mechanism of BCRP expression impairment by BDL. In vitro, NH(4)Cl significantly downregulated the expression of BCRP, JNK, and p-JNK protein, which were attenuated by JNK activator, metformin. Bilirubin could also decrease BCRP expression, accompanied by increased levels of ROS and p-ERK1/2. N-Acetyl-L-cysteine and U0126 attenuated the bilirubin- or H(2)O(2)-induced downregulation of BCRP protein. Confirming this in vivo, bilirubin and ammonium acetate recapitulated BCRP suppression via ROS-ERK1/2 and JNK pathways, respectively (n = 6 per group). In summary, BDL downregulated the expression and function of BCRP in rat retina, partly due to increases in levels of both ammonia and bilirubin. Ammonia impaired BCRP expression by inactivating the JNK pathway, while bilirubin suppressed BCRP expression by activating the ROS-ERK1/2 pathway. SIGNIFICANCE STATEMENT: Bile duct ligation-induced ammonia and bilirubin accumulation downregulated retinal breast cancer resistance protein (BCRP) expression and function. Ammonia impaired the expression of BCRP by inactivating the JNK pathway, while bilirubin suppressed BCRP expression through activating the ROS-ERK1/2 pathway.",2026 May,42000303,PubMed
"Exploring Terpenoids as Dual-Action Agents in Diabetes and Cancer: A Review of Their Anti-Hyperglycemic, Anti-Glycolytic Actions, and Combination Therapy Potential.","Cancer and diabetes represent a dual health burden linked by shared metabolic disturbances, particularly hyperglycemia and glycolytic reprogramming. This metabolic overlap highlights the need for agents capable of modulating both conditions simultaneously. Terpenoids have emerged as promising candidates, and this review synthesizes evidence on six representative compounds-beta-caryophyllene, carvacrol, zerumbone, limonene, beta-elemene, and thymol-demonstrating their ability to lower blood glucose levels (anti-hyperglycemic) and suppress tumor metabolism (anti-glycolytic). Among these, zerumbone, beta-caryophyllene, and carvacrol consistently show the strongest dual activity by targeting the phosphoinositide 3-kinase/protein kinase B/mammalian target of rapamycin (PI3K/AKT/mTOR), glucose transporter 4 (GLUT4), and nuclear factor kappa-light-chain-enhancer of activated B cells (NF-kappaB)/signal transducer and activator of transcription 3 (STAT3) signaling pathways. By contrast, limonene, beta-elemene, and thymol exhibit asymmetric evidence, with stronger activity in either diabetes or cancer models. To translate these biological effects into clinical outcomes, nanocarrier formulations are required to overcome inherent pharmacokinetic barriers. Furthermore, the synergistic potential of these terpenoids when combined with conventional agents such as metformin and cisplatin underscores a significant translational opportunity to improve efficacy while reducing systemic toxicity. Ultimately, by targeting the shared PI3K/AKT/mTOR axis, these dual-function agents restore glucose homeostasis while suppressing tumor glycolysis. This integrated mechanistic approach supports a promising, yet underexplored, combination therapy strategy that warrants further translational investigation.",2026 Jun,41988874,PubMed
The Role of the HMGB1 C-Terminal Domain in Epithelial-Mesenchymal Transition and Invasion in 2D and 3D MDA-MB-231 Breast Cancer Models.,"High-mobility group box 1 (HMGB1) is a multifunctional protein that operates both within the nucleus and as an extracellular signaling molecule. Its extracellular activity has been increasingly associated with cancer progression. Emerging evidence suggests that structural modifications of HMGB1, including C-terminal truncation, may alter its biological activity, though the underlying mechanisms remain largely unexplored. Here, we show that HMGB1, which lacks the entire C-terminal acidic tail, is associated with increased cellular plasticity and invasive potential through distinct signaling pathways not strictly dependent on RAGE (Receptor for Advanced Glycation End-product) under the tested conditions. Functional analyses indicate that this truncated form promotes epithelial-mesenchymal transition-related behaviors and activates downstream inflammatory signaling in a context-dependent manner. Notably, pharmacological intervention with metformin effectively suppressed responses to the full-length protein but was less effective against the tail-less variant, underscoring potential therapeutic challenges. These findings suggest an underappreciated regulatory role of the HMGB1 C-terminal domain in tumor aggressiveness.",2026 Mar 30,41977331,PubMed
"Studying synergistic anticancer effects of repurposed AT(1)B losartan with antidiabetics metformin, rosiglitazone in triple-negative breast cancer cells.","This article investigates the effects of losartan, metformin, and rosiglitazone on triple-negative breast cancer (TNBC) with an intent to repurpose these drugs for cancer therapy. The cytotoxicity of the compounds was evaluated through the MTT assay, where cells were exposed to each drug, both singularly and in combinations, over 48 h. The median inhibitory concentration (IC50) for each drug was calculated using nonlinear regression via GraphPad Prism, yielding IC50 values of 1231 muM for losartan, 30.37 muM for metformin, and 267.1 muM for rosiglitazone. The study highlights a synergistic effect particularly between losartan and metformin in TNBC, revealing a 1.6-fold increase in potency at a fixed 1:1 combination ratio. This combination facilitated enhanced cell growth inhibition over individual drug treatments, particularly at concentrations below 1280 muM. Furthermore, when losartan was combined with rosiglitazone, there was a notable augmentation in synergistic effects, underscoring improved efficacy, as seen by right-shifted dose-response curves and increased maximal responses at concentrations of 320 muM or higher. In assays with MDA-MB-231 cells, strong synergy was detected at minimal doses when losartan and metformin were combined, leading to significant dose reduction indices (DRIs) of 21.92 for losartan and 17.247 for metformin. In contrast, findings indicated that while losartan moderately inhibited growth within 48 h, the combination treatment did not yield any additional synergism with rosiglitazone at lower doses. The study concludes that although losartan and rosiglitazone exhibit strong synergy in inhibiting TNBC growth, the concurrent administration of these drugs at lower dosages presents limitations in achieving further synergistic or additive effects.",2026 Apr 28,41967625,PubMed
Overcoming immunotherapy resistance in breast cancer: a novel strategy by targeting the integrated stress response.,"Immunotherapy resistance remains a major obstacle in treating breast cancer, particularly aggressive subtypes like triple-negative breast cancer (TNBC). This review delineates the pivotal role of the Integrated Stress Response (ISR) as a central metabolic-immune regulator driving this resistance. The ISR is activated in the tumor microenvironment (TME) by diverse stressors-including hypoxia, nutrient scarcity, and ER stress-via four upstream kinases (PERK (PKR-like ER kinase), GCN2, PKR, HRI). These kinases converge to phosphorylate eukaryotic initiation factor 2alpha (eIF2alpha), leading to the selective translation and robust activation of the transcription factor ATF4. The ensuing ATF4-driven program fosters an immunosuppressive TME through multifaceted mechanisms: tumor-intrinsic upregulation of PD-L1, secretion of immunosuppressive exosomes, metabolic reprogramming that depletes critical amino acids, and direct impairment of T cell function and antigen presentation. Concurrently, ISR activation in immune cells-such as myeloid-derived suppressor cells (MDSCs) and dendritic cells-further dampens antitumor immunity. Targeting the ISR with small-molecule inhibitors (PERK or GCN2 inhibitors, ISRIB) or repurposed agents (metformin) demonstrates compelling preclinical efficacy in reversing immunosuppression and synergizing with immune checkpoint inhibitors. Biomarker-driven strategies, including ISR gene signatures and p-eIF2alpha immunohistochemistry, offer promising avenues for patient stratification. Thus, pharmacological targeting of the ISR represents a strategically viable approach to reprogram the immunosuppressive TME and overcome immunotherapy resistance in breast cancer, warranting urgent clinical investigation.",2026,41938533,PubMed
Metformin drives HIF-1alpha-mediated dual metabolic reprogramming to enhance gammadelta T cell therapy in triple-negative breast cancer.,"Triple-negative breast cancer (TNBC) lacks effective targeted treatments, rendering gammadelta T cell immunotherapy a promising therapeutic strategy. However, the function of these immune cells is often limited by exhaustion and immunosuppression. This study investigated whether metformin can enhance gammadelta T cell-mediated immunity against TNBC. Results demonstrated that metformin increased the cytotoxicity, proliferation, and cytokine production of gammadelta T cells while reducing their exhaustion markers. It differentially modulated cellular metabolism by enhancing oxidative phosphorylation (OXPHOS) and glycolysis in gammadelta T cells while suppressing these pathways in cancer cells through AMPK-HIF1-alpha signaling. Metformin also upregulated stress ligands on tumor cells, thereby improving immune recognition. In chemoresistant models, metformin restored gammadelta T cell function. Clinical data further showed that high AMPK activity and increased gammadelta T cell infiltration were associated with improved patient survival. These findings indicate that metformin remodels immunometabolism and enhances tumor immunogenicity, supporting its potential as a combinatory agent in gammadelta T cell-based immunotherapy for TNBC.",2026 Apr 2,41925872,PubMed
Tumor cell membrane-camouflaged nanoparticles co-delivering docetaxel and metformin for enhanced synergistic therapy of HER2-positive breast cancer.,"The clinical efficacy of docetaxel (DTX) in treating HER2-positive breast cancer is hampered by poor solubility and systemic toxicity, while metformin (Met) shows anti-cancer potential by targeting tumor metabolism. We hypothesized that a biomimetic nanoplatform co-delivering DTX and Met could achieve synergistic anti-tumor effects with enhanced safety. This study developed tumor cell membrane-camouflaged mesoporous silica nanoparticles co-loaded with DTX and Met (mem(DTX&Met@MSNs)). The nanoparticles were characterized for particle size, stability, drug loading, and membrane coating. In vitro assays were conducted to assess cellular uptake, cytotoxicity, and synergistic effects. In vivo studies were performed in HER2-positive breast cancer-bearing mice to evaluate biodistribution, anti-tumor efficacy, toxicity, and histopathology. The mem(DTX&Met@MSNs) nanoparticles showed a core-shell structure and pH-responsive release, with over 80% drug release at pH 6.5 versus less than 40% at pH 7.4. Biomimetic coating enabled homologous targeting, enhancing cellular uptake and synergistic cytotoxicity in SK-BR-3 cells (7.89% apoptosis). In vivo, the system prolonged the circulation half-life to nearly 6 h, effectively suppressed tumor growth, and demonstrated excellent biocompatibility with no significant toxicity or body weight loss. In conclusion, mem(DTX&Met@MSNs) integrates homologous targeting with dual-drug synergism, offering a safe and effective strategy for the treatment of HER2-positive breast cancer.",2026 Apr,41914068,PubMed
